Raghav,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48,day_49,day_50,day_51,day_52,day_53,day_54,day_55,day_56,day_57,day_58,day_59,day_60,day_61,day_62,day_63,day_64,day_65,day_66,day_67,day_68,day_69,day_70,day_71,day_72,day_73
n tilak varma,0.0,14.5,14.5,14.5,14.5,14.5,14.5,28.0,28.0,30.5,30.5,30.5,30.5,35.5,35.5,35.5,59.5,59.5,59.5,59.5,59.5,59.5,85.0,85.0,85.0,85.0,92.5,92.5,92.5,95.0,95.0,95.0,97.5,97.5,97.5,97.5,102.5,102.5,102.5,102.5,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,124.0,124.0,136.0,136.0
surya kumar yadav,0.0,8.5,8.5,8.5,8.5,8.5,8.5,25.0,25.0,39.5,39.5,39.5,39.5,65.5,65.5,65.5,78.0,78.0,78.0,78.0,78.0,78.0,100.0,100.0,100.0,100.0,112.0,112.0,112.0,144.5,144.5,144.5,164.0,164.0,164.0,164.0,190.5,190.5,190.5,190.5,216.0,216.0,216.0,216.0,216.0,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,260.0,260.0,260.0,260.0,260.0,284.5,284.5,284.5,284.5,300.0,300.0,320.5,320.5
trent boult,0.0,4.0,4.0,4.0,4.0,4.0,4.0,13.5,13.5,31.0,31.0,31.0,31.0,42.5,42.5,42.5,57.5,57.5,57.5,57.5,57.5,57.5,62.5,62.5,62.5,62.5,72.0,72.0,72.0,79.0,79.0,79.0,105.0,105.0,105.0,105.0,126.5,126.5,126.5,126.5,144.5,144.5,144.5,144.5,144.5,162.5,162.5,162.5,162.5,162.5,162.5,162.5,162.5,162.5,162.5,162.5,162.5,162.5,162.5,162.5,174.0,174.0,174.0,174.0,174.0,181.0,181.0,181.0,181.0,194.0,194.0,206.5,206.5
khaleel ahmed,0.0,25.5,25.5,25.5,25.5,25.5,42.0,42.0,64.0,64.0,64.0,64.0,64.0,64.0,80.0,80.0,80.0,96.0,96.0,96.0,104.0,104.0,104.0,119.5,119.5,119.5,119.5,119.5,119.5,125.5,125.5,125.5,125.5,125.5,138.0,138.0,138.0,138.0,138.0,158.0,158.0,158.0,165.5,165.5,165.5,165.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,179.5,179.5,179.5,179.5,179.5,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0
nicholas pooran,0.0,0.0,44.5,44.5,44.5,83.0,83.0,83.0,83.0,83.0,102.5,102.5,102.5,108.5,108.5,108.5,108.5,156.5,156.5,156.5,156.5,186.0,186.0,193.5,193.5,193.5,193.5,193.5,198.5,198.5,198.5,203.5,203.5,203.5,203.5,203.5,219.0,219.0,219.0,219.0,219.0,219.0,219.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,242.5,242.5,242.5,270.0,270.0,270.0,270.0,270.0,272.5,272.5,272.5,272.5,272.5,272.5,272.5
gerald coetzee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,8.5,8.5,8.5,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,34.0,34.0,34.0,34.0,34.0,41.5,41.5,41.5,41.5
krunal pandya,18.5,18.5,18.5,18.5,18.5,18.5,25.0,25.0,25.0,25.0,25.0,30.5,30.5,30.5,30.5,30.5,52.5,52.5,52.5,56.0,56.0,56.0,65.5,65.5,65.5,65.5,65.5,67.5,67.5,87.0,87.0,87.0,87.0,102.0,102.0,102.0,137.0,137.0,137.0,137.0,137.0,137.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,164.0,164.0,164.0,164.0,169.0,169.0,173.5,173.5,173.5,173.5,173.5
nathan ellis,0.0,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
sai sudharsan,0.0,0.0,0.0,36.0,36.0,36.0,36.0,53.0,53.0,53.0,53.0,74.0,74.0,74.0,74.0,79.0,79.0,79.0,114.5,114.5,114.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,151.5,151.5,170.0,170.0,170.0,170.0,170.0,170.0,170.0,183.5,183.5,183.5,183.5,206.0,206.0,206.0,206.0,213.5,213.5,213.5,213.5,213.5,213.5,213.5,213.5,213.5,213.5,213.5,0.0,257.5,257.5,257.5,257.5,267.5,267.5,267.5,282.5,282.5,282.5,282.5,282.5,311.0,311.0,311.0,311.0
fazalhaq farooqi,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
vaibhav suryavanshi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,15.5,15.5,15.5,15.5,22.5,22.5,22.5,22.5,78.5,78.5,78.5,78.5,78.5,78.5,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,105.0,105.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
